source_response_id,version_key,segment,submitted_at,feature,frequency_raw,used_yn,frequency_score,feature_csat,csat_accuracy,csat_sources
69,v1_CSM,CSM,2025-09-29 09:14:06+00,matrix,Nein,f,0,,,
69,v1_CSM,CSM,2025-09-29 09:14:06+00,research,Nein,f,0,,,
70,v1_CSM,CSM,2025-09-29 23:38:03+00,matrix,Nein,f,0,,,
70,v1_CSM,CSM,2025-09-29 23:38:03+00,research,Ja,t,4,4.0,3.0,3.0
71,v1_CSM,CSM,2025-09-30 04:41:37+00,matrix,Nein,f,0,,,
71,v1_CSM,CSM,2025-09-30 04:41:37+00,research,Ja,t,4,6.0,6.0,3.0
72,v1_CSM,CSM,2025-09-30 23:21:37+00,matrix,Nein,f,0,,,
72,v1_CSM,CSM,2025-09-30 23:21:37+00,research,Ja,t,4,7.0,5.0,5.0
73,v1_CSM,CSM,2025-10-01 02:11:27+00,matrix,Nein,f,0,,,
73,v1_CSM,CSM,2025-10-01 02:11:27+00,research,Nein,f,0,,,
74,v1_CSM,CSM,2025-10-01 10:14:15+00,matrix,Ja,t,4,7.0,,
74,v1_CSM,CSM,2025-10-01 10:14:15+00,research,Nein,f,0,,,
75,v1_CSM,CSM,2025-10-02 04:29:42+00,matrix,Nein,f,0,,,
75,v1_CSM,CSM,2025-10-02 04:29:42+00,research,Ja,t,4,5.0,5.0,8.0
76,v1_CSM,CSM,2025-10-06 01:13:37+00,matrix,Nein,f,0,,,
76,v1_CSM,CSM,2025-10-06 01:13:37+00,research,Nein,f,0,,,
77,v1_CSM,CSM,2025-10-06 01:30:11+00,matrix,Ja,t,4,,,
77,v1_CSM,CSM,2025-10-06 01:30:11+00,research,Ja,t,4,8.0,7.0,6.0
78,v1_CSM,CSM,2025-10-06 02:08:57+00,matrix,Ja,t,4,,,
78,v1_CSM,CSM,2025-10-06 02:08:57+00,research,Nein,f,0,,,
79,v1_CSM,CSM,2025-10-06 02:24:14+00,matrix,Nein,f,0,,,
79,v1_CSM,CSM,2025-10-06 02:24:14+00,research,Ja,t,4,7.0,7.0,5.0
80,v1_CSM,CSM,2025-10-06 02:37:40+00,matrix,Ja,t,4,,,
80,v1_CSM,CSM,2025-10-06 02:37:40+00,research,Ja,t,4,8.0,7.0,8.0
81,v1_CSM,CSM,2025-10-06 03:01:50+00,matrix,Nein,f,0,,,
81,v1_CSM,CSM,2025-10-06 03:01:50+00,research,Ja,t,4,8.0,8.0,8.0
82,v1_CSM,CSM,2025-10-06 03:46:21+00,matrix,Ja,t,4,7.0,,
82,v1_CSM,CSM,2025-10-06 03:46:21+00,research,Ja,t,4,7.0,7.0,7.0
83,v1_CSM,CSM,2025-10-06 07:06:30+00,matrix,Nein,f,0,,,
83,v1_CSM,CSM,2025-10-06 07:06:30+00,research,Ja,t,4,10.0,8.0,5.0
84,v1_CSM,CSM,2025-10-06 07:09:40+00,matrix,Nein,f,0,,,
84,v1_CSM,CSM,2025-10-06 07:09:40+00,research,Nein,f,0,,,
85,v1_CSM,CSM,2025-10-07 00:12:39+00,matrix,Nein,f,0,,,
85,v1_CSM,CSM,2025-10-07 00:12:39+00,research,Ja,t,4,9.0,8.0,8.0
86,v1_CSM,CSM,2025-10-07 01:50:15+00,matrix,Nein,f,0,,,
86,v1_CSM,CSM,2025-10-07 01:50:15+00,research,Ja,t,4,7.0,7.0,8.0
87,v1_CSM,CSM,2025-10-07 02:15:46+00,matrix,Nein,f,0,,,
87,v1_CSM,CSM,2025-10-07 02:15:46+00,research,Ja,t,4,8.0,8.0,7.0
88,v1_CSM,CSM,2025-10-08 02:30:44+00,matrix,Nein,f,0,,,
88,v1_CSM,CSM,2025-10-08 02:30:44+00,research,Ja,t,4,9.0,9.0,8.0
89,v1_CSM,CSM,2025-10-09 02:51:02+00,matrix,Nein,f,0,,,
89,v1_CSM,CSM,2025-10-09 02:51:02+00,research,Ja,t,4,4.0,2.0,6.0
90,v1_CSM,CSM,2025-10-09 04:53:10+00,matrix,Nein,f,0,,,
90,v1_CSM,CSM,2025-10-09 04:53:10+00,research,Ja,t,4,9.0,9.0,8.0
91,v1_CSM,CSM,2025-10-09 05:00:34+00,matrix,Nein,f,0,,,
91,v1_CSM,CSM,2025-10-09 05:00:34+00,research,Nein,f,0,,,
92,v1_CSM,CSM,2025-10-10 05:56:54+00,matrix,Nein,f,0,,,
92,v1_CSM,CSM,2025-10-10 05:56:54+00,research,,,,,,
93,v1_CSM,CSM,2025-10-10 07:14:53+00,matrix,Nein,f,0,,,
93,v1_CSM,CSM,2025-10-10 07:14:53+00,research,Ja,t,4,10.0,8.0,7.0
94,v1_CSM,CSM,2025-10-10 08:29:07+00,matrix,Nein,f,0,,,
94,v1_CSM,CSM,2025-10-10 08:29:07+00,research,Ja,t,4,3.0,3.0,5.0
95,v1_CSM,CSM,2025-10-10 08:49:16+00,matrix,Ja,t,4,8.0,,
95,v1_CSM,CSM,2025-10-10 08:49:16+00,research,Ja,t,4,4.0,4.0,7.0
96,v1_CSM,CSM,2025-10-13 02:01:59+00,matrix,Nein,f,0,,,
96,v1_CSM,CSM,2025-10-13 02:01:59+00,research,Nein,f,0,,,
97,v1_CSM,CSM,2025-10-13 02:13:27+00,matrix,Nein,f,0,,,
97,v1_CSM,CSM,2025-10-13 02:13:27+00,research,Ja,t,4,6.0,6.0,5.0
98,v1_CSM,CSM,2025-10-13 05:14:31+00,matrix,Nein,f,0,,,
98,v1_CSM,CSM,2025-10-13 05:14:31+00,research,Ja,t,4,2.0,2.0,8.0
99,v1_CSM,CSM,2025-10-13 05:31:59+00,matrix,Nein,f,0,,,
99,v1_CSM,CSM,2025-10-13 05:31:59+00,research,Nein,f,0,,,
100,v1_CSM,CSM,2025-10-13 05:35:20+00,matrix,Nein,f,0,,,
100,v1_CSM,CSM,2025-10-13 05:35:20+00,research,Ja,t,4,6.0,8.0,6.0
101,v1_CSM,CSM,2025-10-13 06:58:23+00,matrix,Nein,f,0,,,
101,v1_CSM,CSM,2025-10-13 06:58:23+00,research,Ja,t,4,7.0,5.0,5.0
102,v1_CSM,CSM,2025-10-13 07:37:24+00,matrix,Nein,f,0,,,
102,v1_CSM,CSM,2025-10-13 07:37:24+00,research,Nein,f,0,,,
103,v1_CSM,CSM,2025-10-13 09:08:59+00,matrix,Nein,f,0,,,
103,v1_CSM,CSM,2025-10-13 09:08:59+00,research,Ja,t,4,6.0,4.0,7.0
104,v1_CSM,CSM,2025-10-13 09:54:55+00,matrix,Nein,f,0,,,
104,v1_CSM,CSM,2025-10-13 09:54:55+00,research,Ja,t,4,2.0,3.0,6.0
105,v1_CSM,CSM,2025-10-14 06:22:03+00,matrix,Ja,t,4,,,
105,v1_CSM,CSM,2025-10-14 06:22:03+00,research,Nein,f,0,,,
106,v1_CSM,CSM,2025-10-14 06:44:22+00,matrix,Nein,f,0,,,
106,v1_CSM,CSM,2025-10-14 06:44:22+00,research,Ja,t,4,9.0,9.0,9.0
1,v2_CSM,CSM,2025-10-18 05:05:41+00,matrix,,,,,,
1,v2_CSM,CSM,2025-10-18 05:05:41+00,research,Ja,t,4,7.0,7.0,6.0
2,v2_CSM,CSM,2025-10-20 02:31:47+00,matrix,,,,,,
2,v2_CSM,CSM,2025-10-20 02:31:47+00,research,Ja,t,4,8.0,8.0,7.0
3,v2_CSM,CSM,2025-10-20 02:32:37+00,matrix,Nein,f,0,,,
3,v2_CSM,CSM,2025-10-20 02:32:37+00,research,Ja,t,4,8.0,9.0,7.0
4,v2_CSM,CSM,2025-10-20 03:01:40+00,matrix,,,,,,
4,v2_CSM,CSM,2025-10-20 03:01:40+00,research,Ja,t,4,3.0,4.0,3.0
5,v2_CSM,CSM,2025-10-20 04:38:24+00,matrix,Nein,f,0,,,
5,v2_CSM,CSM,2025-10-20 04:38:24+00,research,Nein,f,0,,,
6,v2_CSM,CSM,2025-10-20 04:47:49+00,matrix,,,,,,
